Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab,Ingresos (miles de pesos),ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%),Ingresos ADSL,Ingresos Cablemodem,Ingresos Fibra óptica,Ingresos Wireless,Ingresos Otros
2023,4,29708,71742,900253,978108,697232,350290,8224736,295592,11547661,139.04,836390,6022532,3908183,585760,194796,11547661,11535868,11793,11547661,78.56,24.66,167376014.8,7.242938634932217,52.153695886985254,33.843936014401535,5.0725423962480365,1.6868870674329632,12122942.041559067,87292777.74654743,56646631.35236725,8490219.311880387,2823444.347645883
2023,3,30274,80609,945608,998725,720084,350918,8003269,277421,11406908,129.67,897895,6018832,3708718,581436,200027,11406908,11395115,11793,11406908,77.84,24.41,133106593.41,7.8715020757597065,52.76479831344305,32.51291235100695,5.097227048732225,1.7535602110580712,10477488.263241183,70233425.55468118,43276830.04880449,6784745.282940545,2334104.260332605
2023,2,30827,79405,963510,1028250,734125,364730,7775095,275955,11251897,123.95,1006509,5997149,3463988,581823,202428,11251897,11239781,12116,11251897,77.02,24.14,118060280.28,8.945238300706094,53.29900371466252,30.785813272197572,5.170888073362208,1.799056639071616,10560773.409527525,62924953.171978176,36345817.43563389,6104764.952376515,2123971.310483898
2023,1,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895,110.5,1204417,6002582,3243411,576647,214838,11241895,11229459,12436,11241895,77.2,24.17,104134992.81,10.713647476693207,53.39475239717147,28.851105618759114,5.129446592411688,1.9110479149645143,11156656.02954322,55602621.56971182,30044096.76170031,5341548.840200702,1990069.6088439517
2022,4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114,106.56,1315373,6037457,3060575,572969,221740,11208114,11195668,12446,11208114,77.21,24.15,72443482.99,11.735899545632744,53.866841468600335,27.306779713339818,5.112091115418705,1.9783881570083959,8501894.391063944,39023016.136555746,19781982.316750098,3703376.8576316508,1433213.2879985517
2022,3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128,62.46,1395277,6031970,2871541,557110,235230,11091128,11078691,12437,11091128,76.64,23.95,64086784.33,12.580118090783913,54.38554130833221,25.89043242490755,5.023023807857956,2.1208843681183738,8062193.1493,34853944.56497392,16592345.590254892,3219094.4345864817,1359206.5908847055
2022,2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684,58.44,1468333,5979214,2723285,556243,231609,10958684,10946248,12436,10958684,75.97,23.72,60419500.62,13.398807740053458,54.56142361619333,24.850474746785288,5.075819322831099,2.1134745741368217,8095492.7255742075,32965739.680066753,15014532.74370688,3066784.6872280156,1276950.7834241393
2022,1,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009,55.11,1533240,6073426,2219533,545814,251996,10624009,10611390,12619,10624009,73.88,23.05,55219313.01,14.431840183870326,57.1669884692304,20.891670931378165,5.137552123685136,2.3719482918359724,7969163.004234315,31567218.301214937,11536237.16461689,2836920.988229598,1309773.5517042538
2021,4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794,52.34,1657615,5984240,2072236,523107,252596,10489794,10476933,12861,10489794,73.18,22.81,45467887.17,15.802169232303322,57.04821276757198,19.75478260106919,4.98681861626644,2.4080167827890615,7184912.47695613,25938617.013661165,8982082.263732933,2267401.06181658,1094874.3538331946
2021,3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541,48.46,1950631,5826257,1566048,492415,250190,10085541,10075184,10357,10085541,70.58,21.98,42999944.29,19.340866295620632,57.7684132165047,15.527654887328305,4.882385585463387,2.480680015082979,8316561.732320258,24840385.500314016,6676882.951094633,2099423.081772247,1066691.0244988445
2021,2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084,45.63,2018587,5641731,1472246,476968,253552,9863084,9852702,10382,9863084,69.24,21.55,38239666.63,20.4660834278609,57.20047603771802,14.92683221596815,4.835891086398534,2.570717232054396,7826162.075031686,21873271.347596407,5707970.877805662,1849228.6300286846,983033.6995375645
2021,1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972,43.11,2175211,5424782,1362976,434548,250455,9647972,9637956,10016,9647972,67.95,21.13,36676371.36,22.545784751448284,56.22717395946009,14.127072508087709,4.5040346302829235,2.595934150721001,8268975.741467426,20622087.1266048,5181297.575362714,1651916.4671855678,952094.4493794966
2020,4,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562,42.36,2213949,5371824,1311199,421554,253036,9571562,9561546,10016,9571562,67.62,21.01,33539702.72,23.130488001853823,56.12275196044282,13.698903063052823,4.404234126049646,2.6436228486008866,7757896.913507041,18823404.165815495,4594571.36324889,1477167.0329698413,886663.244458733
