Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab
2023,4,Buenos Aires,26909,23962,228393,239339,246144,110876,4042646,93351,5011620,158.49,223391,2797700,1784593,137993,67943,5011620,5005720,5900,5011620,80.96,27.68
2023,4,Capital Federal,516,4544,26409,48083,33925,5829,1355061,0,1474367,234.44,58700,1198835,182520,4492,29820,1474367,1472317,2050,1474367,117.02,47.8
2023,4,Catamarca,71,209,3065,3734,4423,1827,61181,77,74587,89.4,6669,11016,55437,1384,81,74587,74586,1,74587,68.63,17.46
2023,4,Chaco,236,477,14811,10361,6247,5729,105485,4040,147386,107.14,14000,60277,62301,8404,2404,147386,147381,5,147386,44.35,11.85
2023,4,Chubut,111,1088,44276,31402,22843,20196,33665,16589,170170,20.29,26306,77217,26174,30543,9930,170170,169313,857,170170,84.96,26.04
2023,4,Córdoba,99,8404,117068,91169,51126,26948,767427,17061,1079302,114.03,115662,452380,440536,61862,8862,1079302,1079239,63,1079302,90.67,27.76
2023,4,Corrientes,67,2889,19949,17984,8108,5087,98904,6484,159472,100.9,21769,86102,35968,10402,5231,159472,159469,3,159472,52.56,13.84
2023,4,Entre Ríos,107,4408,37150,54377,16673,7236,164304,14382,298637,101.18,41794,159575,61667,24036,11565,298637,298617,20,298637,69.94,20.91
2023,4,Formosa,85,179,21856,11563,4545,272,23152,350,62002,83.35,10252,18325,16179,17061,185,62002,62002,0,62002,39.23,9.98
2023,4,Jujuy,58,1343,15359,11724,28741,272,58543,1980,118020,46.2,11669,51083,49947,4105,1216,118020,118020,0,118020,57.78,14.77
2023,4,La Pampa,71,1330,46716,17278,14556,5511,34254,1610,121326,25.61,6844,59063,34331,19982,1106,121326,121164,162,121326,99.96,32.93
2023,4,La Rioja,18,435,1483,1786,24838,4709,54452,0,87721,64.18,3296,55441,22559,6395,30,87721,87717,4,87721,80.22,21.35
2023,4,Mendoza,104,2945,35976,20902,30051,7781,196093,5499,299351,49.46,17676,70920,182220,27609,926,299351,298621,730,299351,52.15,14.55
2023,4,Misiones,51,3248,32287,21522,11338,3850,119112,8925,200333,93.65,25840,79000,75382,12928,7183,200333,200333,0,200333,56.27,15.33
2023,4,Neuquén,136,998,35431,13485,10435,2933,81033,20176,164627,99.63,24122,73784,41583,24390,748,164627,164188,439,164627,79.91,23.78
2023,4,Río Negro,112,1039,27223,16608,18343,24693,64813,15586,168417,74.37,21192,49789,64323,17284,15829,168417,167902,515,168417,70.26,21.61
2023,4,Salta,114,1154,28069,65938,3735,66,98971,6685,204732,83.04,26765,98853,60800,11806,6508,204732,204727,5,204732,56.98,13.8
2023,4,San Juan,24,2021,21157,12882,12489,1343,30645,22649,103210,24.78,12669,18543,42691,22351,6956,103210,102963,247,103210,50.08,12.75
2023,4,San Luis,60,628,11317,23754,8952,75907,33150,917,154685,174.59,4037,41260,30135,78954,299,154685,154520,165,154685,102.07,29.21
2023,4,Santa Cruz,50,500,7764,10783,11558,3628,19314,33434,87031,36.77,7768,15669,55246,7687,661,87031,86844,187,87031,73.75,21.94
2023,4,Santa Fe,468,6845,82343,164019,59636,22135,557629,16426,909501,99.81,97004,398670,355762,44521,13544,909501,909395,106,909501,79.75,25.08
2023,4,Santiago Del Estero,180,1173,13018,53980,24514,5794,23641,930,123230,44.22,8290,80692,24271,7057,2920,123230,123228,2,123230,49.08,12.18
2023,4,Tierra Del Fuego,22,834,10283,12618,19536,6085,4342,7879,61599,17.92,9357,48071,3682,157,332,61599,61294,305,61599,110.49,32.75
2023,4,Tucumán,39,1089,18850,22817,24476,1583,196919,562,266335,101.55,41318,20267,199876,4357,517,266335,266308,27,266335,61.04,15.12
2023,3,Buenos Aires,27440,24820,242010,241310,246076,112159,3951660,122762,4968237,146.84,237705,2784175,1740239,137921,68197,4968237,4962337,5900,4968237,80.64,27.5
2023,3,Capital Federal,516,4690,28089,50899,34061,6020,1343709,0,1467984,218.13,60765,1205339,167428,4629,29823,1467984,1465934,2050,1467984,116.4,47.6
2023,3,Catamarca,71,224,3194,3893,4634,2124,60123,92,74355,87.9,7164,11066,54650,1384,91,74355,74354,1,74355,68.55,17.44
2023,3,Chaco,236,462,14076,12874,6895,2970,100544,4089,142146,107.5,16420,60058,54993,8267,2408,142146,142141,5,142146,42.87,11.46
2023,3,Chubut,111,1470,44434,30908,24394,19608,30565,16578,168068,19.26,26352,75460,25827,30521,9908,168068,167211,857,168068,84.23,25.82
2023,3,Córdoba,99,8691,126420,96257,52428,26058,742447,16934,1069334,111.5,125050,453994,417338,62514,10438,1069334,1069271,63,1069334,90.05,27.57
2023,3,Corrientes,67,2985,20810,20906,5494,4577,97014,7976,159829,99.64,24253,83897,36032,10407,5240,159829,159826,3,159829,52.78,13.9
2023,3,Entre Ríos,107,4510,38962,49979,20312,22941,156482,0,293293,96.26,45384,157464,54794,24481,11170,293293,293273,20,293293,68.84,20.58
2023,3,Formosa,85,208,21919,11697,5045,274,21727,359,61314,80.29,11230,18053,14904,16899,228,61314,61314,0,61314,38.86,9.89
2023,3,Jujuy,58,1436,15685,11983,28956,288,56943,2028,117377,44.55,12627,51082,48350,4067,1251,117377,117377,0,117377,57.61,14.73
2023,3,La Pampa,71,1358,47914,18238,14676,4081,31970,1613,119921,24.21,6844,59063,32891,20014,1109,119921,119759,162,119921,99.0,32.62
2023,3,La Rioja,18,459,1617,1989,24847,4798,53973,0,87701,63.84,3726,55494,22054,6395,32,87701,87697,4,87701,80.44,21.41
2023,3,Mendoza,104,2948,36236,20942,30636,8032,193600,5524,298022,46.96,17677,73066,178719,27609,951,298022,297292,730,298022,52.03,14.52
2023,3,Misiones,51,3302,32953,22315,11900,3862,113860,8892,197135,91.49,27934,79087,70003,12928,7183,197135,197135,0,197135,55.51,15.12
2023,3,Neuquén,170,981,37758,13937,11582,2377,84209,13259,164273,96.57,24527,73329,39243,24085,3089,164273,163834,439,164273,79.97,23.8
2023,3,Río Negro,112,1061,29201,15014,21182,22752,59206,14957,163485,70.93,22422,50429,56668,16864,17102,163485,162970,515,163485,68.4,21.04
2023,3,Salta,115,1190,29305,67060,4059,78,97627,6799,206233,80.8,29113,98324,59914,12337,6545,206233,206228,5,206233,57.57,13.94
2023,3,San Juan,24,2021,21090,12882,12564,1440,31081,22628,103730,24.45,12669,19376,42383,22317,6985,103730,103483,247,103730,50.45,12.85
2023,3,San Luis,60,628,11398,23818,10926,74914,18688,8484,148916,104.97,4037,41624,24525,78431,299,148916,148751,165,148916,98.55,28.2
2023,3,Santa Cruz,50,6722,10612,10853,9565,3643,6542,0,47987,15.67,8376,23931,11270,3660,750,47987,47800,187,47987,40.89,12.17
2023,3,Santa Fe,468,7174,85897,168711,65489,20333,534474,17806,900352,97.39,108503,397854,336013,44545,13437,900352,900246,106,900352,79.09,24.87
2023,3,Santiago Del Estero,180,1199,15100,54503,28456,806,20734,950,121928,41.46,9412,80919,21745,6916,2936,121928,121926,2,121928,48.67,12.08
2023,3,Tierra Del Fuego,22,834,10550,12731,20384,5150,4040,5020,58731,17.17,9357,45203,3682,157,332,58731,58426,305,58731,105.95,31.41
2023,3,Tucumán,39,1236,20378,25026,25523,1633,192051,671,266557,98.85,46348,20545,195053,4088,523,266557,266530,27,266557,61.26,15.17
2023,2,Buenos Aires,28007,24674,246067,253078,245505,107502,3883235,97420,4885488,138.35,265537,2766463,1645945,138405,69138,4885488,4879442,6046,4885488,79.67,27.1
2023,2,Capital Federal,516,4422,27827,54111,34364,6189,1330249,0,1457678,208.01,68348,1218631,136295,4504,29900,1457678,1455578,2100,1457678,115.48,47.27
2023,2,Catamarca,71,226,3329,4076,4788,2285,58048,167,72990,86.13,7637,10700,53177,1384,92,72990,72989,1,72990,67.42,17.15
2023,2,Chaco,236,475,14630,14176,7446,3008,97897,3987,141855,105.45,19115,59944,51955,8267,2574,141855,141850,5,141855,42.87,11.46
