AÑO;Inflación Anual;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
2024;2,72;0,21;0,13;0,11;0,09;0,04;0,05;;;;;;
2023;2,11;0,06;0,07;0,08;0,08;0,08;0,06;0,06;0,12;0,13;0,08;0,13;0,25
2022;0,95;0,04;0,05;0,07;0,06;0,05;0,05;0,07;0,07;0,06;0,06;0,05;0,05
2021;0,51;0,04;0,04;0,05;0,04;0,03;0,03;0,03;0,02;0,04;0,04;0,03;0,04
2020;0,36;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,04;0,03;0,04
2019;0,54;0,03;0,04;0,05;0,03;0,03;0,03;0,02;0,04;0,06;0,03;0,04;0,04
2018;0,48;0,02;0,02;0,02;0,03;0,02;0,04;0,03;0,04;0,07;0,05;0,03;0,03
2017;0,25;0,02;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,03
2016;0,35;0,09;0,05;0,02;0,02;0,04;0,03;0,03;0,00;0,00;0,01;0,01;0,01
2015;0,17;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04
2014;0,28;0,05;0,05;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,01
2013;0,15;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
2012;0,13;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
2011;0,13;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
